Column,Date,User,Tweet,Tweet Bersih,Sentiment
0,2022-08-09 13:16:44+00:00,HulondaloID,Dukungan penuh terkait program vaksinasi Covid-19 yang digelar Polda Gorontalo. https://t.co/jJWsRmRLor,dukung penuh kait program vaksinasi covid gelar polda gorontalo,2
1,2022-08-26 14:09:38+00:00,pritpritcingta,"@205Zaki hdh,, blio mang rada ppkm alias plonga plongo kyk monyet tapi gk mnyet jg!! huhu tetap gemas tp kok ntuh kok bs bg elug paksa kh",hdh blio mang rada ppkm alias plonga plongo seperti monyet gk mnyet jg huhu gemas tp ntuh bisa bg elug paksa kh,0
2,2022-08-25 02:47:41+00:00,boo6eym4n,"Ayo Vaksin.. 
Pemerintahan luncurkan buku vaksinasi Covid-19

Jokowi Tokoh Pembangunan https://t.co/8fvqayWMs2",ayo vaksin perintah luncur buku vaksinasi covid jokowi tokoh bangun,2
3,2022-08-09 14:35:58+00:00,pikobar_jabar,Ketahui informasi pembagian #PPKM di wilayah Jabar berdasarkan level di #PikoData https://t.co/ifY61xsetJ,tahu informasi bagi ppkm wilayah jabar dasar level pikodata,1
4,2022-08-25 04:37:37+00:00,AndinNabilah3,"Kementerian Kesehatan (Kemenkes) pada akhir tahun ini akan menjalankan vaksinasi Covid-19 untuk anak di bawah usia 6 tahun. Saat ini pihaknya sedang menjajaki peluang untuk vaksin anak-anak tersebut dengan vaksin yang disetujui dunia bernama Pediatrik. 

#MabaUNJ2022 https://t.co/ln8JApjSYU",menteri sehat kemenkes jalan vaksinasi covid anak usia jajak peluang vaksin anak anak vaksin tuju dunia nama pediatrik mabaunj,1
5,2022-08-01 01:28:17+00:00,darynsgurl,"RT @ggyozza: liat ni ada yg ke mall pdahal lgi PPKM (｡•̀ᴗ-)✧
[#BLSD #blsecaday #toptap_jirakit ] https://t.co/yZDMkAdiaf",liat ni mall pdahal lagi ppkm   blsd blsecaday toptap jirakit,1
6,2022-08-11 09:50:50+00:00,silovesuga,@raxmyoon Ppkm level brp lg yhhh,ppkm level brp lg yhhh,1
7,2022-08-22 12:55:12+00:00,basaheh,"@ProfesorZubairi rasanya kita melupakan angka kefakiran,kemiskinan,pengangguran,perceraian,yatim piatu meningkat sejak ada kebijakan PSBB dan PPKM yang ngefek kesemua. Semoga Allah Subhanahu wa Ta'ala menolong mereka.",lupa angka fakir miskin anggur cerai yatim piatu tingkat bijak psbb ppkm ngefek semua moga allah subhanahu wa ta ala tolong,1
8,2022-08-08 05:28:50+00:00,KodimKarangany1,"KARANGANYAR - Senin 08 Agustus 2022 Serda Rahmawan Adi Putra  anggota Koramil 03/Kebakkramat melaksanakan Patroli Pendisiplinan Prokes PPKM Level 3 menghimbau masyarakat, pedagang/pembeli di pasar Kemiri Kec. Kebakkramat untuk mematuhi prokes 5M guna memutus penyebaran Covid-19. https://t.co/p1h7TcO15c",karanganyar senin agustus serda rahmawan adi putra anggota koramil kebakkramat laksana patroli disiplin prokes ppkm level menghimbau masyarakat dagang beli pasar kemiri kec kebakkramat patuh prokes m putus sebar covid,2
9,2022-08-12 07:55:46+00:00,frida_oroh,"Penting vaksin

#EndemiCovid
#IndonesiaSehatIndonesiaHebat
#BeritaCovid
#PPKM https://t.co/pXyKrzQSWr",vaksin endemicovid indonesiasehatindonesiahebat beritacovid ppkm,1
10,2022-08-05 11:54:33+00:00,tribunmedan,"Minimalisir Kasus Covid-19, Bobby Minta Seluruh Kegiatan Pemko Medan Wajib Sediakan Tempat Vaksinasi
 
https://t.co/LaFXX48H6I via @tribunmedan",minimalisir covid bobby giat pemko medan wajib sedia vaksinasi via,1
11,2022-08-25 07:44:47+00:00,dragonnfruitt,gua ppkm tolongg https://t.co/Flt7SYbJaL,gue ppkm tolongg,1
12,2022-08-01 13:47:04+00:00,Koramil20P,"Giat  patroli  dalam rangka  Pelaksanaan *PPKM LEVEL I* membatasi Mobilitas Perpindahan Masyarakat, bertempat di wilayah Kecamatan Tanon aman dan tertib. https://t.co/fyhfOWx6K0",giat patroli rangka laksana ppkm level i batas mobilitas pindah masyarakat tempat wilayah camat tanon aman tertib,1
13,2022-08-11 11:08:15+00:00,termanisv,"dahla tu mana abis istirahat ada satu jam mapel trus abistu jamkos, pas jamkos gua ppkm doang alias plonga plongo kaya monyet",dahla tu abis istirahat jam mapel trus abistu jamkos pas jamkos gue ppkm doang alias plonga plongo kaya monyet,1
14,2022-08-09 12:50:36+00:00,RahadiSaptono,RT @sunardji075: Berjalan dg baik &amp; Sukses #APDILamongan #APDIJatim Asosiasi Pegiat Desa Indonesia kab Lamongan Gelar Pelatihan Peningkatan…,jalan sukses apdilamongan apdijatim asosiasi giat desa indonesia kab lamongan gelar latih tingkat,1
15,2022-08-08 02:48:23+00:00,ppid_purwakarta,"Sampurasun #sobatnet istimewa.. 
Jadwal vaksinasi covid-19 di kabupaten Purwakarta. 8 Agustus - 13 Agustus 2022.

Ayo di vaksin!

#DiskominfoPurwakarta 
#SemakinDigjaya 
#Purwakarta 
#Istimewa https://t.co/3gBYBXdU6t",sampurasun sobatnet istimewa jadwal vaksinasi covid kabupaten purwakarta agustus agustus ayo vaksin diskominfopurwakarta semakindigjaya purwakarta istimewa,2
16,2022-08-15 03:37:38+00:00,indozonemedia,"Mulai 15 Agustus 2022, calon penumpang Kereta Api Jarak Jauh (KAJJ) wajib menunjukkan hasil negatif tes RT-PCR jika belum mendapatkan vaksinasi Covid-19 ketiga atau booster.

https://t.co/qIjjmeT0u4",agustus calon tumpang kereta api jarak kajj wajib hasil negatif tes pcr vaksinasi covid tiga booster,1
17,2022-08-13 03:27:10+00:00,RodiHartono94,"Prokes dan vaksinasi adalah kunci terhindar dari Covid-19
NKRI Tumbuh Kuat https://t.co/dJv42wBsAP",prokes vaksinasi kunci hindar covid nkri tumbuh kuat,2
18,2022-08-08 06:31:31+00:00,KambuayaDaniel,"Tingkatkan Herd Immunity, BCA Dukung Vaksinasi Covid-19 di Medan
https://t.co/iCGn4je5I1
IKN Smartcity Indonesia",tingkat herd immunity bca dukung vaksinasi covid medan ikn smartcity indonesia,2
19,2022-08-02 08:34:05+00:00,INyoman49432517,"RT @PropamRestaDps: Cegah Penyebaran Covid-19
Dengan Vaksinasi

Sebagai upaya mencegah penyebaran Covid-19, Polri berperan sebagai garda te…",cegah sebar covid vaksinasi upaya cegah sebar covid polri peran garda te,2
20,2022-08-19 07:31:33+00:00,suaradiponegoro,"Babinsa Kelurahan Tipes Cek Penerapan PPKM Level 1 di PT.Taspen Surakarta

https://t.co/Xl1fQho9k4

#tniad
#suaradiponegoro
#bersamarakyattnikuat https://t.co/JXLNkLcYie",babinsa lurah tipes cek terap ppkm level pt taspen surakarta tniad suaradiponegoro bersamarakyattnikuat,1
21,2022-08-30 02:29:59+00:00,gilherlambang,keren-keren ya band yang muncul di era post PSBB/PPKM ini,keren keren band muncul era post psbb ppkm,1
22,2022-08-05 06:00:00+00:00,KoramilMusuk,"Pukul 08.00 s.d 09.00 Wib, 4 orang Babinsa Koramil 02 Musuk di pimpin Babinsa Ds Musuk Serka Sumanto melaksanakan giat operasi Yustisi pelaksanaan PPKM Level 1 dalam rangka mencegah penyebaran Covid-19 di warung Hik   Dk. Sidowaluyo Rt 03 Rw 06 Ds. Musuk Kec. Musuk. https://t.co/jteon9yioW",s wib orang babinsa koramil musuk pimpin babinsa ds musuk serka sumanto laksana giat operasi yustisi laksana ppkm level rangka cegah sebar covid warung hik dk sidowaluyo rw ds musuk kec musuk,1
23,2022-08-12 04:58:29+00:00,Infosumutku,"buku Vaksinasi Covid-19 di Kantor Kemenko Perekonomian, Jakarta, Kamis (11/8).

Menurut Ijeck, meski pandemi belum hilang tapi kualitas kesehatan masyarakat saat ini lebih baik dan ekonomi terus menggeliat.“Covid-19 sempat membuat kita semua panik tapi dengan strategi pemerintah- https://t.co/epdKNTQbBt",buku vaksinasi covid kantor kemenko ekonomi jakarta kamis ijeck pandemi hilang kualitas sehat masyarakat ekonomi geliat  covid panik strategi perintah,1
24,2022-08-16 06:16:26+00:00,MochLSigit,"Dengan penanganan yg baik &amp; benar oleh Pemerintah, pandemi Covid 19 di Indonesia bisa diatasi, juga kesadaran masyarakat akan pentingnya vaksinasi bagi kesehatan, shg Indonesia termasuk dlm 5 besar negara dgn vaksinasi terbanyak di dunia.
#PidatoPresiden2022 #BangkitLebihKuat https://t.co/8rhMARfrGN",tangan perintah pandemi covid indonesia atas sadar masyarakat vaksinasi sehat shg indonesia dalam negara vaksinasi dunia pidatopresiden bangkitlebihkuat,2
