Column,Date,User,Tweet,Tweet Bersih,Sentiment
1828,2022-08-02 00:55:52+00:00,tribunjateng,"Diperpanjang Lagi, PPKM Level 1 Berlaku Seluruh Indonesia 

https://t.co/OtOtQsT564",panjang ppkm level laku indonesia,1
5825,2022-08-06 13:14:06+00:00,Beritasatu,Vaksinasi Covid-19: Booster Bertambah 36.575 Suntikan https://t.co/tMlVaIQPR3,vaksinasi covid booster tambah sunti,1
6650,2022-08-02 09:32:07+00:00,kompascom,"Epidemiolog menyebutkan, meski telah masuk pemberian booster, vaksin premier dosis pertama masih sangat dibutuhkan untuk membangun imunitas. https://t.co/z9ph062vTH",epidemiolog masuk beri booster vaksin premier dosis butuh bangun imunitas,2
2445,2022-08-18 14:28:42+00:00,cjenniekim,RT @tanyakanrl: Tanyarl Ada yg punya meme ppkm (plonga plongo kaya monyet)?,tanyarl meme ppkm plonga plongo kaya monyet,1
493,2022-08-08 02:36:55+00:00,Sek_Cly,"Ciptakan Sitkamtibmas Kondusif cegah rawan Kriminalitas

Peesonil Unit Samapta dan Unit Reskrim melaksanakan Kontrol Patroli ke tempat Wisata Batu Kuda dalam rangka monitoring kegiatan Masyarakat sekaligus menyampaikan Pesan Kamtibmas Serta Ingatkan Prokes di Masa PPKM Level I https://t.co/JBUYpaYixC",cipta sitkamtibmas kondusif cegah rawan kriminalitas peesonil unit samapta unit reskrim laksana kontrol patroli wisata batu kuda rangka monitoring giat masyarakat pesan kamtibmas ingat prokes ppkm level i,1
7854,2022-08-17 15:24:28+00:00,depokita,"Pelayanan Vaksinasi COVID-19 &amp; Bulan Imunisasi Anak Nasional (BIAN)

🗓️ Jumat-Sabtu, 19-20 Agustus 2022
🕘 09.00-14.00 WIB
📍 Lt.3 @DmallDepok 

🔗 Pendaftaran Vaksinasi COVID-19:
https://t.co/IGfH9Koq7n

#eventdepok #infodepok #depok https://t.co/ZhQO4AASGa",layan vaksinasi covid imunisasi anak nasional bian  jumat sabtu agustus  wib  lt  daftar vaksinasi covid eventdepok infodepok depok,1
7720,2022-08-18 08:34:20+00:00,Kodim0828,Tingkatkan Partisipasi Vaksinasi “Door to Door” Bersama Babinsa di Wilayah Binaan https://t.co/n5rjdTbyGG https://t.co/LQQvFgjxbr,tingkat partisipasi vaksinasi  door to door  babinsa wilayah bina,1
4074,2022-08-28 05:48:57+00:00,sherllyjeon,"@armyfess_ Ditambah gw liat"" army tuh kebanyakan orang dewasa yang mana sekarang udah ga ada PPKM dan sejenisnya, jadinya ya gitu.. udah banyak yang sibuk banget dengan aktivitas diluar sampe mungkin buka hp aja ga sempet saking banyak aktivitas diluar yg harus dihandle.",tambah saya liat army banyak orang dewasa udah ppkm jenis gitu udah sibuk banget aktivitas luar sampai buka hp sempat saking aktivitas luar dihandle,1
8277,2022-08-16 01:00:56+00:00,Penyair_Berdiri,"Taati Prokes Berikut Cara Jaga Jarak yang benar agar kita tetap aman terlindungi dari penularan covid. Segera kunjungi layanan kesehatan terdekat &amp; tunaikan vaksinasi dosis lengkap agar manfaat utamanya kita dapatkan.

#WajibBoosterDisiplinProkes
#HUT77RI https://t.co/5XhdfLsixW",taat prokes jaga jarak aman lindung tular covid kunjung layan sehat dekat tunai vaksinasi dosis lengkap manfaat utama dapat wajibboosterdisiplinprokes hutri,2
388,2022-08-08 15:38:55+00:00,BakpiaGosonk,RT @avonoir: @BakpiaGosonk ppkm yaah,ppkm yaah,1
6037,2022-08-05 03:51:57+00:00,RozaimiMohamat,"RT @ina2global_: POLWAN RI GERAI VAKSINASI

Tak hanya bakti sosial, Polwan juga serentak mengadakan gerai vaksinasi Covid-19

#BersamaWujud…",polwan ri gerai vaksinasi bakti sosial polwan serentak ada gerai vaksinasi covid bersamawujud,2
9777,2022-08-26 07:18:53+00:00,cianjurekspres,"Badan Intelijen Negara Republik Indonesia (BIN) RI kembali menggelar kegiatan gebyar vaksinasi Covid-19 sebanyak tujuh ribu dosis bagi empat desa di wilayah kerja Puskesmas Ciherang, Kecamatan Karangtengah, Cianjur, Jumat (26/8/2022).
https://t.co/6CDn1lIdcE https://t.co/r7IcnoVDxO",badan intelijen negara republik indonesia bin ri gelar giat gebyar vaksinasi covid tujuh ribu dosis desa wilayah kerja puskesmas ciherang camat karangtengah cianjur jumat,2
9491,2022-08-28 05:55:37+00:00,mediaindonesia,"Kasus Covid-19 Melandai, Vaksinasi Tetap Digencarkan  https://t.co/2mTc04oLqk",covid landai vaksinasi gencar,2
3930,2022-08-29 05:20:19+00:00,mengkalem,gue di kantin ppkm banget soalnya ngambil almet bareng ortu 😭,saya kantin ppkm banget ngambil almet bareng ortu ,1
5164,2022-08-10 03:35:30+00:00,DwiDian15986493,Vaksinasi booster tingkatkan imunitas hingga 2 kali dalam mencegah penyebaran Covid-19.. https://t.co/gAoD7BEM8v,vaksinasi booster tingkat imunitas kali cegah sebar covid,2
3392,2022-08-12 14:17:05+00:00,AngGreat2,RT @randhilicious: Kbijakan PPKM Pempus emang NYUSAHIN! Beda sama PSBB Transisi yg diatur Pemprov DKI yg diterapkan Pertengahan 2020-2021.…,kbijakan ppkm pempus emang nyusahin beda psbb transisi atur pemprov dki terap tengah ,0
131,2022-08-09 16:31:49+00:00,sunookw,"Canda ppkm, agenda malam ini adalah baca manhwa ngondek sampe si cantik on, karena manhwa ngondek adalah coping mechanisme. 🥺☝️",canda ppkm agenda malam baca manhwa ngondek sampai cantik on manhwa ngondek coping mechanisme ,1
3558,2022-08-11 12:03:52+00:00,SLAVV_SHRIMP,"Maya balik. Ppkm beneran dah ngga ada
Sasuga memang. 
Also welcome back maya https://t.co/BpDaIzydB6",maya ppkm beneran dah ngga sasuga also welcome back maya,1
1949,2022-08-01 12:44:37+00:00,ayyaforger,@siczeng apelaah aku ktinggalan apa jdi ppkm😔,apelaah ktinggalan jdi ppkm,1
5287,2022-08-09 09:18:08+00:00,torang_satu,"Vaksinasi Covid-19 Berguna untuk Kekebalan Tubuh.
.
.
#Papua #PapuaAdalahKita #PapuaIndonesia #Papuadamai #PapuaBarat #PemekaranWilayah #OtsusPapua #DOBPapua #YukDukungPapuaDamai
#TolakNikolausKondomoPJGubernurPapuaSelatan
#TolakkoruptorGubernurPapusSelatan https://t.co/yQMA9cyaAU",vaksinasi covid guna kebal tubuh papua papuaadalahkita papuaindonesia papuadamai papuabarat pemekaranwilayah otsuspapua dobpapua yukdukungpapuadamai tolaknikolauskondomopjgubernurpapuaselatan tolakkoruptorgubernurpapusselatan,2
9184,2022-08-30 04:01:00+00:00,RADARSOLO_,"Undian hadiah akselerasi vaksinasi Covid-19 digelar bersamaan penutupan Sukoharjo Hybrid Expo di Alun-alun Satya Negara, Kamis (25/8).
#polisi #polripresisi #sukoharjo
@PolisiSukoharjo https://t.co/cljTkPYQSE",undi hadiah akselerasi vaksinasi covid gelar sama tutup sukoharjo hybrid expo alun alun satya negara kamis polisi polripresisi sukoharjo,1
2301,2022-08-19 13:38:58+00:00,kiwkins,PPKM: pgn peluk kmu,ppkm ken peluk kamu,1
2309,2022-08-19 12:47:45+00:00,harutorgil,@daisytuft @treasuremembers GW PPKM BGT ASTAGHFIRULLAH (plonga-plongo kayak monyet),saya ppkm bgt astaghfirullah plonga plongo kayak monyet,1
740,2022-08-06 12:08:32+00:00,xyoungeun,@therevotuka Kelompok sy lagi PPKM boss,kelompok saya ppkm boss,1
4762,2022-08-23 08:35:00+00:00,pooryyi,"RT @Revenge00810455: *_Live Streaming_*
*Selasa, 23 Agustus 2022*

Keterangan Pers Menteri terkait Ratas Evaluasi Pemberlakuan Pembatasan K…",live streaming selasa agustus terang pers menteri kait ratas evaluasi laku batas k,1
2258,2022-08-19 17:10:54+00:00,kimcptain,Ayo mari ppkm https://t.co/WdfLehJi5U,ayo mari ppkm,1
3890,2022-08-29 10:09:35+00:00,vmfilterchild,@chocoberry_thv @hobiribiri mungkin acara tsbt menerapkan sistem ppkm,acara sebut terap sistem ppkm,1
8862,2022-08-12 03:33:32+00:00,Metro__id,"Pemerintah Luncurkan Buku Vaksinasi Covid-19, Isinya Lini Masa Kebijakan hingga Dinamika Pandemi https://t.co/nViUBEMjL4",perintah luncur buku vaksinasi covid isi lini bijak dinamika pandemi,1
590,2022-08-07 11:36:05+00:00,KoramilJaten,Sertu Joko Winarto beserta 2 Anggota Koramil 08/ Tawangmanggu melaksanakan kegiatan PPKM  menghimbau dan membagikan Masker  kepada pedagang dan pengunjung di pasar Tawangmangu untuk selalu mematuhi Protkes dalam beraktifitas di  guna mencegah penularan Virus COVID 19 dengan 5 M.,sertu joko winarto serta anggota koramil tawangmanggu laksana giat ppkm menghimbau bagi masker dagang unjung pasar tawangmangu patuh protkes beraktifitas cegah tular virus covid m,2
