,Date,User,Tweet
0,2022-08-30 09:29:02+00:00,kangturu___,"Tdi gw kan praktikum lapangan ya terus tiba2 keram ggr h1 red days. Ih gila rasanya udh kek mo mati😭 gw keringet dingin, sesek, mual, pusing parah ampe rasanya kek mau pingsan. Gw kek ppkm aja di lorong segitiga sil wkwk ya Allah alhamdulillah ada yg nyamperin"
1,2022-08-30 09:28:50+00:00,hhajez,@THEWOLF8ANG Iya itu lagi ppkm bes
2,2022-08-30 09:28:42+00:00,taekook_cerry,@ainiishere @mygyege Sumpah gw mikir ppkm apa...kaya g asing cuma inget planga plongo😭
3,2022-08-30 09:24:39+00:00,monr0se,@r0yalboy ppkm
4,2022-08-30 09:21:08+00:00,choco_mandu,sumpah orang orang kenapa bisa comes up with the possible idea tentang cb ya kek KEREN bgt?? ak bagian ppkm
5,2022-08-30 09:15:36+00:00,CIRGCUS,@THEWOLF8ANG setau w ppkm (pulang pulang kendor mmk)
6,2022-08-30 09:10:48+00:00,ourgalaxyv,ppkm tuh planga plongo kayak monyet?? sial lucu bgt 😭😭
7,2022-08-30 09:03:31+00:00,ivooxid,Mendagri: Seluruh Daerah Jawa-Bali PPKM Level 1 https://t.co/vFxsCRvJHX
8,2022-08-30 08:57:31+00:00,harutoen,@minjiqim bosen ppkm?
9,2022-08-30 08:55:35+00:00,Redaksi_5News,"PPKM Diperpanjang Sepekan, Mendagri: Seluruh Wilayah Level 1 https://t.co/TTARLhIkk2"
10,2022-08-30 08:51:40+00:00,Kodim0828,Ternama Babinsa Sampang PPKM Level Satu di Wilayah Binaan “Babinsa Peduli” https://t.co/fcsn4piTCt https://t.co/ZzEOLpxZ00
11,2022-08-30 08:49:38+00:00,ainiishere,@mygyege [ppkm] https://t.co/ct939IPCb4
12,2022-08-30 08:43:50+00:00,FitriAulia92_,"Mulai 30 Agustus 2022 Naik Kereta Jarak Jauh Wajib Vaksin Booster 
#EndemiCovid
#IndonesiaSehatIndonesiaHebat
#BeritaCovid
#PPKM https://t.co/WDYdEJKBws"
13,2022-08-30 08:39:54+00:00,Cavieat,@heartleans @adanantya PPKM stands for?
14,2022-08-30 08:37:13+00:00,FitriAulia92_,"Mulai 30 Agustus 2022 Naik Kereta Jarak Jauh Wajib Vaksin Booster 
#EndemiCovid
#IndonesiaSehatIndonesiaHebat
#BeritaCovid
#PPKM https://t.co/MAqk1tNr6D"
15,2022-08-30 08:36:32+00:00,heartleans,@adanantya @Cavieat PPKM. 🤓
16,2022-08-30 08:33:21+00:00,Partono_ADjem,"RT @ketekbuluwangi: @ShopeeID sekarang sdm kaya gini

Padahal buat ngembaliin dana setelah ppkm insha allah bisa

Sdm sekarang yang muda mu…"
17,2022-08-30 08:31:59+00:00,SunardiFauzi,Anggota Koramil 18/Kalijambe melaksanakan  patroli gabungan dalam rangka  Pelaksanaan *PPKM LEVEL I* membatasi Mobilitas Perpindahan Masyarakat di Wilayah Kecamatan Kalijambe. https://t.co/Xo3mFelWlQ
