,Date,User,Tweet
0,2022-08-10 08:56:21+00:00,bumn_palu_kuat,"Sobat BUMN, 
Pemerintah Indonesia telah mengizinkan Vaksinasi Covid-19 booster kedua per tanggal 29 Juli 2022, yang diberikan untuk tenaga kesehatan di gelombang pertama. 
#VaksinIndonesia https://t.co/a4YfitDx7z"
1,2022-08-10 08:53:40+00:00,BoWozZ,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
2,2022-08-10 08:52:25+00:00,jagabalicom,"Sambang DDS Di Keramas Blahbatuh, Bhabinkamtibmas Ingatkan Prokes Dan Vaksinasi Covid-19 https://t.co/xSdmKulkb9"
3,2022-08-10 08:49:28+00:00,MahaBhisma,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
4,2022-08-10 08:44:51+00:00,kicepkicep,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
5,2022-08-10 08:41:26+00:00,efie_vie,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
6,2022-08-10 08:41:06+00:00,delapanenamcom,"Sambang DDS Di Keramas Blahbatuh, Bhabinkamtibmas Ingatkan Prokes Dan Vaksinasi Covid-19 https://t.co/PsrSlE6VNn"
7,2022-08-10 08:40:58+00:00,papi_odin,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
8,2022-08-10 08:36:48+00:00,syt230377,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
9,2022-08-10 08:36:34+00:00,pemkot_salatiga,"Update #JadwalVaksinasiCovid19

Halo sedulur salatiga,Berikut kami informasikan jadwal vaksin untuk Kamis, 11 Agustus 2022. Pastikan semua anggota keluarga sudah mendapatkan vaksinasi covid-19 sampai booster dosis 3 ya.
Cc :
@dinkes_sala3
@pkm_sidorejolor https://t.co/CquodzMPpn"
10,2022-08-10 08:35:13+00:00,f1rmanh,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
11,2022-08-10 08:34:34+00:00,nevereverso,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
12,2022-08-10 08:33:29+00:00,mediaindonesia,"PEMERINTAH Kota Palembang, Sumsel mengajukan penambahan kuota vaksin Covid-19. Hal itu sebagai upaya mencukupi jumlah vaksin yang akan disuntikkan kepada masyarakat.  https://t.co/JLNAopysW7"
13,2022-08-10 08:30:23+00:00,EricMey96867225,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
14,2022-08-10 08:26:22+00:00,Costa290Doug,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
15,2022-08-10 08:22:39+00:00,KoramilLoano,Sertu Jumari melaksanakan kegiatan pengamanan sekaligus monitoring Vaksinasi  ke 3 boster Covid-19 kepada masyarakat bertempat di Balai Desa Loano https://t.co/2gkWlhZKTv
16,2022-08-10 08:19:09+00:00,kabarlensa2021,"I've just posted a new blog: Sambang DDS Di Keramas Blahbatuh, Bhabinkamtibmas Ingatkan Prokes Dan Vaksinasi Covid-19 https://t.co/aZ4eGkA5Dj"
17,2022-08-10 08:16:16+00:00,sipalingwonwoo,Alhamdulillah punya sertif selain sertif vaksinasi Covid-19🙏 https://t.co/rmdW5NzKFV
18,2022-08-10 08:15:56+00:00,Linguosco,"Halo, teman-teman ada yang butuh Penerjemahan Tersumpah (Sworn Translation) oleh Penerjemah Tersumpah untuk dokumen : Sertifikat Vaksinasi COVID-19, Kartu Vaksin,  Surat Dokter, Surat Keterangan Sehat, Surat Rujukan, Catatan Medis atau dokumen kesehatan lainnya tidak ya? https://t.co/DrfWMRb4OP"
19,2022-08-10 08:15:46+00:00,Alamsyah_003,"RT @GratisTerbaik: Done!
Gugatan ""Diskriminasi berdasarkan status vaksinasi"" didaftarkan! No perkara 274
Bersama @MprAldo @Human_B dan @Bnb…"
20,2022-08-10 08:12:07+00:00,eros062018,RT @yo2thok: Update❗️ Denmark MENGAKHIRI SEMUA vaksinasi Covid untuk siapa pun yang berusia di bawah 18 tahun: “anak-anak dan remaja sangat…
21,2022-08-10 08:03:30+00:00,mediaindonesia,VAKSINASI Covid-19 keempat atau dosis booster kedua bagi tenaga Kesehatan (nakes) di  Provinsi Bangka Belitung (Babel) sudah mencapai  2.417 orang.  https://t.co/eVlCErqC8z
22,2022-08-10 08:01:36+00:00,CipondohHumas,"Pelaksanaan Vaksinasi merdeka 1,2 dan Booster di presh Mart GLC Ketapang Cipondoh Tangerang Kota Tangerang, Rabu 10/8 pukul 08.00 wib

Yuk guys kita putus penyebaran covid-19 dan varianya dengan vaksinasi dan dengan mematuhi protokol kesehatan dengan 5M https://t.co/0YRL64ylcC"
